Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,mae,mape,r2,rmse,split,model,data
2022-09-16 21:45:54,374ms,1def689ac3164905bff15a5d94205a42,Spain.rw.test,LOCAL,codrift5.py,marabots,FINISHED,18618.095238095237,0.5839006187096492,-0.19001020319117345,42309.12996408057,test,rw,Spain
2022-09-16 21:45:50,368ms,6beafc41176a4311ae18d050ef31d93f,Qatar.rw.test,LOCAL,codrift5.py,marabots,FINISHED,17.49206349206349,0.0828736876617217,0.8917796755257391,34.167189310752875,test,rw,Qatar
2022-09-16 21:45:45,380ms,29ee9b1bb0664b9793a5edafd6a2ac04,Portugal.rw.test,LOCAL,codrift5.py,marabots,FINISHED,1392.3333333333333,0.32797761437879236,0.8488268621640637,2390.083517834099,test,rw,Portugal
2022-09-16 21:45:41,382ms,6138f8f502d4467393a5d0e8c3ca75ec,Japan.rw.test,LOCAL,codrift5.py,marabots,FINISHED,40.857142857142854,0.32229416632791325,0.5665371169718734,54.326175397623324,test,rw,Japan
2022-09-16 21:45:32,372ms,45a8e534b4fc40e0928c08180310f134,Israel.rw.test,LOCAL,codrift5.py,marabots,FINISHED,362.3492063492063,0.3505649488373233,0.5236519209789283,707.1674775255443,test,rw,Israel
2022-09-16 21:45:28,384ms,b389ed83f6b542089e05f64fb106bee3,Iran.rw.test,LOCAL,codrift5.py,marabots,FINISHED,641.5555555555555,0.1739522003156744,0.8640177422975365,934.6287268979363,test,rw,Iran
2022-09-16 21:45:23,425ms,e484cc1c15f746ef92925416d0d35e73,Germany.rw.test,LOCAL,codrift5.py,marabots,FINISHED,10707.555555555555,0.313731681820728,0.5184725728700776,12751.041534801077,test,rw,Germany
2022-09-16 21:45:15,362ms,f61bf669fd904b5a88982ec14977b2b3,China.rw.test,LOCAL,codrift5.py,marabots,FINISHED,29.253968253968253,0.27808530919053065,0.48355908866241437,44.61172883005487,test,rw,China
2022-09-16 21:45:10,371ms,23eb48ffc22d460c929e8cf3d755997c,Canada.rw.test,LOCAL,codrift5.py,marabots,FINISHED,2175.873015873016,0.3469445347395499,0.841385968509821,4360.686603138736,test,rw,Canada
2022-09-16 21:45:06,377ms,895ff6337a7245ebac0a23785cca28e7,Australia.rw.test,LOCAL,codrift5.py,marabots,FINISHED,708.8888888888889,0.13596694811828614,0.9090880357993053,1928.6439680655305,test,rw,Australia
2022-09-16 21:45:01,385ms,16416c34189f4118acbe3a59cc2a2f2b,Argentina.rw.test,LOCAL,codrift5.py,marabots,FINISHED,1522.5396825396826,0.3198604177208615,0.9103973783211133,3174.62896219685,test,rw,Argentina
2022-09-07 22:03:05,340ms,66eea558926646208cd8ba8114071b0f,Russia.rw.test,LOCAL,codrift5.py,marabots,FINISHED,669.2539682539683,0.02122661617500771,0.9765814994627059,844.1829618132986,test,rw,Russia
2022-09-07 22:03:01,333ms,78d81bcb591b4637a5facedf192afbef,India.rw.test,LOCAL,codrift5.py,marabots,FINISHED,2101.904761904762,0.1997700174401695,-0.12706749749714952,3639.218754466011,test,rw,India
2022-09-07 22:02:57,336ms,b1100bfef5b94a9a8b54642c945e4ac6,South Africa.rw.test,LOCAL,codrift5.py,marabots,FINISHED,3227.063492063492,0.6070151540859698,0.549765585915637,6059.279069433082,test,rw,South Africa
2022-09-07 22:02:53,326ms,8fd0ce17ac6b457a9e102cd98652ce25,France.rw.test,LOCAL,codrift5.py,marabots,FINISHED,13215.84126984127,0.6491089298854796,0.7031070933703452,26654.87700036828,test,rw,France
2022-09-07 22:02:49,336ms,1e87c9cf492149aaad9a7f8cbd1afd9f,Italy.rw.test,LOCAL,codrift5.py,marabots,FINISHED,4837.190476190476,0.22403889995443327,0.8749885068123657,9418.697401765901,test,rw,Italy
2022-09-07 22:02:45,336ms,c75c6ea9ce244effa2cf164a801baa34,United Kingdom.rw.test,LOCAL,codrift5.py,marabots,FINISHED,5899.571428571428,0.09319925295369512,0.9445096735791959,9135.499514583336,test,rw,United Kingdom
2022-09-07 22:02:41,332ms,b793a4cec4254e57a9b790c88712c606,US.rw.test,LOCAL,codrift5.py,marabots,FINISHED,59247.857142857145,0.5548367996369113,0.5484343714999029,80882.27068066473,test,rw,US
2022-09-07 22:02:37,338ms,d9a96f76d149441dacf2b02dc5a521a8,Mexico.rw.test,LOCAL,codrift5.py,marabots,FINISHED,2972.15873015873,0.8955213033762647,-0.6439467715350204,3766.597837550655,test,rw,Mexico
2022-09-07 22:02:33,340ms,bd3056c24f7844ca84857cd35555eba0,Brazil.rw.test,LOCAL,codrift5.py,marabots,FINISHED,2304.6507936507937,0.3579747317085547,0.40380916436789327,3087.5630782066237,test,rw,Brazil
